,ITEM_CODE,MO_NAME,SPECS,USE_NAME
0,Y00000004991,善存片,复方*60片,口服
1,F00002227295,一次性使用输液器（超低密度聚乙烯精密输液器（带螺口））,,静脉滴注
2,18435,九项呼吸道感染病原体IgM抗体检测,,
3,F00002204394,动脉采血,,
4,F00002204391,静脉采血,,
5,F00002204382,低流量给氧,,
6,16093,一般细菌涂片检查,,
7,17878,血乳酸,,
8,18823,凝血五项,,
9,F00002204440,雾化吸入(氧气雾化),,
10,F00002218301,安舒妥静脉导管固定透明敷贴10×12cm,,
11,F00002213478,运动疗法(呼吸训练),,
12,F00002207423,血氧饱和度监测,,
13,F00002212421,紫红头真空管,紫色2ML/双标签/紫2MLRD/有标签,
14,Y00000000758,沐舒坦注射液*#,15mg:2ml*5,静脉滴注
15,F00002218320,精密输液器（威高/洁瑞）,,静脉滴注
16,F00002204398,静脉输液(使用微量泵或输液泵每小时加收),,
17,F00000180071,3M透明敷贴（HP）6×7cm（9534HP）,,
19,F00002218595,一次性注射器20ML/因特圣,,
21,Y00000001024,阿斯美胶囊*# ,60粒,口服
22,Y00000018770,灭菌注射用水@#,10ml,静脉滴注
23,F00002204400,住院静脉输液,,静脉滴注
24,F00002204397,静脉输液(连续输液第二组起每组收),,
25,F00002207335,双水平气道正压(BIPAP)通气,,
26,F00002218593,一次性注射器5ML/因特圣,,
27,F00002212422,黄头真空管,黄色5ml/双标签/金黄5ML/有标签,
28,F00002217600,水封瓶TSY-II（一次性胸腔引流瓶）,,
29,16101,真菌涂片检查(包括各种标本),,
31,F00002204352,Ⅰ级护理,,
33,19992,巨细胞病毒IgG抗体定量（金域）*,,
34,Y00000000678,5%葡萄糖注射液&#@,5%*250ml,静脉滴注
36,17935,甲胎蛋白(AFP),,
37,F00002218258,一次性使用医用雾化器（咬咀型）（斯莱达）,,
39,F00002218594,一次性注射器10ML/因特圣,10ML 9#因特圣,静脉注射
40,Y00000000314,重酒石酸去甲肾上腺素注射液 #,1ml:2mg*2支,微泵静注
41,Y00000000789,耐能注射液&,250ml:6.25g,静脉滴注
42,Y00000002188,可必特溶液**#,2.5ml*10,氧气雾化
43,Y00000018752,灵芝孢子粉胶囊@,0.2g*30粒,口服
44,16094,结核菌涂片检查,,
46,Y00000018600,0.9%氯化钠注射液&#@,50ml:0.45g,微泵静注
47,16497,床边照片(胸部),,
49,17099,细菌涂片二项（包括各种标本）,,
51,Y00000000469,0.9%氯化钠注射液&#@,100ml:0.9g,静脉滴注
52,Y00000020216,0.9%氯化钠注射液(科伦)&#@,10ml:0.09g,氧气雾化
55,F00002212423,蓝头真空管,,
57,F00002204353,Ⅱ级护理,,
61,17134,粪便分析(Rt+OB),,
62,17136,尿干化学与沉渣分析,,
70,Y00000000704,诺和灵（R）注射液*#,10ml:400iu,皮下注射
74,Y00000002281,舒利迭吸入剂#,50ug/500ug*60吸,吸入
75,F00002204346,院内会诊,,
78,F00002218597,一次性注射器50ML/因特圣,,微泵静注
82,16785,他克莫司全血药物浓度测定,,
83,Y00000020020,丙泊酚针(迪施宁)**,50ml:1g,微泵静注
84,F00002204389,皮内注射,,皮试
85,17132,血型分析,,
86,18524,呼吸道常见病毒抗原筛查与鉴定(直接法),,
87,17879,血气分析,,
92,Y00000004911,宜利治分散片&,160mg*10片,口服
93,F00002212424,黑头真空管,,
99,16965,床边心电图（心电图室）,,
102,F00002213152,鼻饲管置管(使用各种泵每小时加收),,鼻饲
103,F00002220498,静脉药物集中配置（抗肿瘤化学药物集中配置）,,
104,17717,肺肿瘤五项,,
106,Y00000018695,亮博胶囊#,0.1g*6粒,口服
108,16175,静脉血细胞分析,,
109,F00002204390,静脉注射,,
110,Y00000001121,开瑞坦片*#,10mg*6,口服
112,Y00000000459,0.9%氯化钠注射液(玻瓶)&#@,0.9%*500ml,漱口
115,F00002207304,肺通气功能检查,,
116,Y00000020131,0.9%氯化钠针(四药)&#@,50ml:0.45g,微泵静注
117,F00002204388,皮下注射,,
119,Y00000002279,思力华吸入剂(附吸入器)**#,18ug*10粒,吸入
121,Y00000007Z09,枳实颗粒一方,相当于饮片6G,冲服
124,17708,痰培养鉴定+药敏试验五项,,
126,999,记出入量,,
127,F00002220500,静脉药物集中配置（其他药物集中配置）,,
132,Y00000000235,异舒吉注射液**#,10ml:10mg*10,微泵静注
133,Y00000001906,波立维片*#,75mg*7,口服
134,20586,真菌抗原二项血清检测,,
139,F00000180135,硅胶管（引流管)12号,,
140,Y00000018915,津欣针#,30mg,静脉注射
141,F00002218240,一次性吸痰管12号（广东电白）,,
142,F00002207349,经纤支镜治疗,,
145,Y00000019982,明可欣针**#,1.5g,静脉滴注
147,F00002207311,残气容积测定,,
149,Y00000003024,开塞露 ,20ml,外用
150,F00002220362,静脉留置针护理,,
151,17448,头部螺旋CT平扫+增强(造影剂另计),,
152,F00002212420,红头促凝真空管,红色5ml/双标签,
153,17100,CX3生化八项,,
157,Y00000001373,美卓乐片**&#,4mg*30,口服
162,Y00000018722,耐信针**,40mg,静脉注射
171,F00002233356,针管回缩式聚氨酯静脉留置针/18G*29mm威高,,
176,17792,引流管更换,,
179,F00000181274,一次性采血真空管,,
185,Y00000000899,松酶乐注射液,4mg/2ml*10,静脉滴注
186,Y00000020049,新斯的明针(信谊)#,2ml:1mg*10支,静脉注射
187,Y00000007A19,川芎颗粒一方,相当于饮片6G,冲服
190,F00002218260,三通管（百特）,,
192,F00002218242,肝素锁（苏州华林）,,
193,Y00000018905,血塞通软胶囊@#,100mg*12粒,口服
197,17855,动脉采血,,
198,Y00000000257,2%利多卡因注射液 ,10ml:0.2g*5支,氧气雾化
199,F00000181791,一次性采血针头,,
202,Y00000019807,榄香烯注射液&%,100mg/20ml*8,静脉滴注
204,Y00000020121,0.9%氯化钠注射液&#@,10ml:0.09g,氧气雾化
205,Y00000019836,他克莫司胶囊**#,0.5mg*50,口服
206,Y00000001966,骁悉胶囊*#,0.25*40,口服
207,Y00000001559,顺尔宁片*#,10mg*5,口服
208,F00002215209,超细经鼻电子胃镜检查,,
209,17078,心梗鉴别六项,,
212,F00002204371,口腔护理,,
215,Y00000000063,(济南)葡萄糖酸钙注射液 #,10ml:1g*5支,静脉注射
221,F00002207305,肺弥散功能检查,,
224,Y00000019916,叶酸片(海王) #,5mg*100,口服
228,F00002217914,一次性注射器2ML/上海双鸽,,肌肉注射
229,17930,糖化血红蛋白,,
231,Y00000018485,10%氯化钾溶液,10%*30ml,口服
232,17065,肝功八项,,
235,F00002229656,绿色10ml真空采血管（BD）,,
236,Y00000019921,茶碱缓释片#,0.1g*50片,口服
240,Y00000019969,枢维新针#,10ml:0.1g,静脉滴注
241,Y00000019872,百令胶囊#@,0.5g*42,口服
242,Y00000020046,思力华能倍乐喷雾剂**#,2.5μg*60揿/瓶,喷雾给药
243,Y00000019640,切诺肠溶软胶囊,0.3g*18粒,口服
246,F00000180035,一次性吸痰管(一般),,
250,Y00000019540,时尔平缓释胶囊#,0.1g*24粒,口服
252,19444,抗核抗体谱十一项,,
253,16848,降钙素原检测（PCT）,,
254,18237,巨细胞病毒核酸定量检测(CMV-DNA),,
259,F00002224031,动脉采血器/普通型(BD),,
261,F00002213137,使用防褥疮气垫(床)加收,,
262,16222,结核分枝杆菌核酸检测（TB-DNA）,,
264,F00000180313,一次性血氧饱和度探头MASIMO,,
265,18107,心电图（心电图室）,,
266,F00002218369,一次性使用一体式吸氧管（舒氧宝）,,
268,Y00000000349,青霉素钠针(粉针)#,80万u,皮试
269,Y00000000454,甲强龙针**#&,40mg,静脉滴注
275,F00002218596,一次性注射器30ML/因特圣,,静脉滴注
278,Y00000020013,门冬氨酸钾镁针(海南)&#,10ml*5,静脉滴注
279,F00002204369,动静脉置管护理,,
286,Y00000001088,泛福舒胶囊**,7mg*10,口服
290,Y00000002230,爱全乐溶液**#,500ug:2ml*10,氧气雾化
291,F00000180232,尿袋（一次性引流袋）,,
292,16888,血B型钠尿肽前体（PRO-BNP）,,
293,Y00000020092,卡博平片*#,50mg*45片,口服
294,17871,CRP,,
307,F00000181126,加长延长管（1.5米）,,微泵静注
308,Y00000001391,硝酸甘油片#,0.5mg*100,舌下含服
309,F00002213138,气管插管护理,,
310,Y00000019975,万爽力片**#,20mg*30,口服
319,Y00000007A41,桔梗颗粒一方,相当于饮片10G,自煎
320,Y00000001138,得每通胶囊**#,150mg*20,口服
328,Y00000000715,5%葡萄糖注射液&#@,5%*500ml,静脉滴注
332,Y00000000202,肝素钠注射液#,2ml:12500u,其他
334,Y00000001214,呋塞米片#,20mg*100,口服
335,F00002211965,日常生活能力评定,,
339,Y00000019745,甘舒霖R注射液#,10ml:400iu,静脉滴注(肠外)
342,Y00000007G54,石膏颗粒一方,相当于饮片15G,冲服
343,Y00000001464,保列治片*,5mg*10,口服
346,F00002220496,压疮护理,,
347,Y00000001022,螺内酯片#,20mg*100,口服
352,Y00000019558,瑞派林针,2.5g,静脉滴注
353,Y00000001381,耐信肠溶片**#,20mg*7,口服
356,Y00000007B36,百部颗粒一方,相当于饮片10g,冲服
357,Y00000018192,50%葡萄糖注射液&#@,100ml:50g,静脉滴注(肠外)
358,17275,肝胆脾胰B超,,
359,16394,胸部正侧位,,
360,Y00000019712,茶碱缓释片#,0.1g*30片,口服
362,17146,凝血四项,,
365,Y00000004859,尤金片#&,4mg*24片,口服
369,17348,髂静脉彩超,,
375,Y00000001447,潘南金片**&#,140mg/158mg*50片,口服
380,Y00000018541,复方聚乙二醇电解质散(和爽),137.15g,口服
386,F00002204351,特级护理,,
390,Y00000002277,信必可都保**#,(160ug:4.5ug)*60吸,吸入
393,Y00000002148,普米克令舒**#,1mg/2ml*5,氧气雾化
398,17905,肺炎支原体血清学试验,,
399,F00002206383,普通视力检查,,
401,Y00000001085,倍它乐克片*#,25mg*20,口服
403,Y00000019661,氯化钾缓释片(补佳泰)&#,0.5g*48片,口服
404,F00002218251,一次性使用医用雾化器（面罩型）（斯莱达）,,
407,F00002227296,一次性使用精密过滤输液器（带螺口）,,静脉注射
412,Y00000019557,钠钾镁钙葡萄糖注射液(乐加),500ml,静脉滴注
413,17261,心脏彩色超声(加心功能),,
427,Y00000008091,生理氯化钠溶液(外用),500ml,外用
430,Y00000003100,扶他林乳胶剂*#,20g,外用
437,17964,床边多导联心电图(病房自做),,
439,Y00000001422,普乐可复胶囊**#,0.5mg*50,鼻饲
440,Y00000002136,杜密克口服溶液**#,15ml*6,口服
446,Y00000007A36,牛膝颗粒一方,相当于饮片10G,冲服
447,Y00000001042,络活喜片*#,5mg*7,口服
450,Y00000001386,硝苯地平片#,10mg*100,舌下含服
453,17257,全身骨显像,,
454,16109,一般细菌培养及鉴定,,
455,Y00000000420,力月西注射液 #,2ml:10mg,静脉注射
461,F00002232837,A级三人以上房间（严格隔离加收）,,
462,17794,遥控心电监护,,
468,Y00000000676,5%葡萄糖注射液&#@,5%*100ml,微泵静注
470,F00002208411,麻醉中监测8-13项,,
475,F00002220367,拔除引流管,,
477,F00002231798,密闭式静脉留置针/Y型/BD,,
484,Y00000020190,易维适胶囊#,0.2g*24粒,口服
485,F00002213154,引流管引流,,
486,Y00000007C71,芥子颗粒一方,相当于饮片10G,冲服
490,F00002206351,电脑血糖监测,,
492,Y00000020033,雷贝拉唑钠肠溶片(舒泰得),10mg*12片,口服
497,F00002220917,抗肿瘤化学药物配置（抗肿瘤化学药物配置）,,
512,Y00000019583,艾贝宁注射液,2ml:200ug,微泵静注
513,Y00000019776,磷酸肌酸钠针(英联)#,0.5g,静脉滴注
517,Y00000000027,重酒石酸间羟胺注射液,1ml:10mg*2支  (19mg),静脉注射
522,Y00000000756,络泰(冻干粉针),400mg,静脉滴注
534,Y00000018767,万特普安注射液,1ml,其他
539,17948,红细胞沉降率测定(血沉),,
543,F00002204387,肌肉注射,,
548,Y00000019655,乙酰半胱氨酸片(富露施)#,0.6g*12片,口服
549,Y00000019720,硫酸氢氯吡格雷片#,25mg*20片,口服
555,Y00000020130,佛迪胶囊,0.325g*48,口服
556,Y00000020185,肝素钠针(海普天)#,2ml:12500u,动脉抽血
560,18225,甲型H1N1流感病毒 A(H1N1),,
564,F00002207320,支气管激发试验,,
567,Y00000020019,伏立康唑片,50mg*4片,口服
572,F00002213284,床边心电图加收,,
573,17475,副鼻窦CT平扫(只有横断图像),,
588,Y00000020235,呋塞米注射液(润弘)#,20mg:2ml*10,静脉注射
592,Y00000001074,泛福舒胶囊 **,3.5mg*10,口服
594,17330,双侧下肢静脉彩超(全程),,
597,F00002217913,一次性注射器1ML/上海双鸽,,皮下注射
603,Y00000019097,拜瑞妥片,10mg*5片,口服
609,16201,床边单导联心电图(病房自做),,
610,Y00000018895,注射用复合辅酶(鑫贝科)@,0.2mg:200单位,静脉滴注
611,Y00000019728,格列美脲片 #,2mg*24片,口服
615,18444,C-反应蛋白（快速法）,,
628,Y00000018226,珂丹片**#,0.2g*30片,口服
632,20546,结核感染T细胞检测（免疫斑点法）,,
645,Y00000018880,0.9%氯化钠注射液&#@,10ml:0.09g,静脉注射
646,F00002217900,一次性吸氧管OT-MII（中）（北京）,,
648,Y00000018274,0.9%氯化钠注射液&#@,250ml:2.25g,静脉滴注
650,Y00000002153,博利康尼雾化液**#,5mg/2ml*20支,氧气雾化
651,17944,血浆D-二聚体测定,,
652,Y00000019119,尿毒清颗粒#,5g*18袋,口服
657,20486,全身红外热成像检测（12部位）,,
670,20266,诱导痰细胞学分类,,
673,Y00000000007,安达美注射液*,10ml*10支,静脉滴注
683,Y00000007A13,山药颗粒一方(单味自费),相当于饮片10G,冲服
685,Y00000020210,2%利多卡因针(天圣),5ml:0.1g*5支,氧气雾化
688,Y00000018816,辰雅注射液,100ml:50mg,静脉滴注
692,17641,冠状动脉CT造影+三维重建（造影剂另计）,,
698,17118,真菌培养及鉴定+真菌药敏,,
704,Y00000019837,他克莫司胶囊**#,1mg*50,口服
710,F00002212425,红头干燥真空管,,
719,18220,血传播八项,,
722,Y00000001353,拜复乐片**#,400mg*3,口服
732,16845,（G试验）真菌1-3-β-D-葡聚糖定量检测,,
733,F00002207460,白细胞除滤,,
740,17298,泌尿系彩超,,
741,F00002220454,血糖试纸/拜安捷/240060008,,
744,17068,血脂四项,,
745,16805,血清前白蛋白测定,,
747,F00002233355,避光输液器/TPE威高,,静脉滴注
749,F00002204033,机械辅助排痰,,
752,Y00000019673,单硝酸异山梨酯缓释胶囊#,50mg*10粒,口服
755,Y00000019633,泰勒宁片,5mg/325mg*10片,口服
756,Y00000004940,醋酸泼尼松片#&,5mg*100片,口服
757,Y00000000275,卡路注射液 #,20%*250ml,静脉滴注(肠外)
763,Y00000019027,安维汀注射液,100mg(4ml),其他
765,19767,抗核抗体定量(ANA),,
766,Y00000018952,内舒拿鼻喷雾剂**,0.05%  60揿,喷鼻
769,17326,双侧下肢A彩超全程(包双股总浅深腘胫前后、足背A）),,
777,F00002217899,一次性吸氧管OT-MII（大号）（北京）,,
792,17568,胸部螺旋CT平扫,,
802,Y00000000432,瑞捷针,1mg,微泵静注
804,Y00000001846,复方红豆杉胶囊&,0.3g*12,口服
808,Y00000007B35,柴胡(北)颗粒一方,相当于饮片6G,冲服
809,Y00000018548,新克君针,3.0g(2g:1g),静脉滴注
817,17276,泌尿系B超(双肾、输尿管、膀胱、前列腺）,,
818,Y00000018973,拜阿司匹灵肠溶片**#(国产),100mg*30片,口服
824,F00002207392,动态心电图,,
828,Y00000000669,泰索帝注射液**&%,20mg,静脉滴注
832,F00002211991,运动疗法(各关节活动度训练),,
838,F00002204183,人工扩肛治疗,,
849,20407,血管炎三项,,
851,F00002206430,眼压检查(非接触眼压计法或压平眼压计法),,
857,Y00000019528,盐酸二甲双胍肠溶片#,0.25g*100片,口服
859,F00002219935,一次性加药注射器20ML/康德莱,,
869,Y00000000577,拜复乐注射液 #,250ml:400mg,静脉滴注
886,Y00000004917,同奥注射液&%,10ml:0.1g,静脉滴注
888,17918,总IgE测定,,
908,Y00000000457,10%氯化钠注射液&#@,1g:10ml*5,口服
913,Y00000019060,胸腺五肽注射液(通达)&,1ml:10mg,肌肉注射
917,Y00000019891,依托泊苷注射液(齐鲁)&%,0.1g:5ml,静脉滴注
918,Y00000018379,来立信注射液#,250ml:0.5g,静脉滴注
926,Y00000000725,美平针**,0.5g,静脉注射
937,Y00000018201,注射用磷酸肌酸钠#,1.0g,静脉滴注
953,F00002203986,一氧化氮呼气测定,,
955,16181,血脂六项,,
967,Y00000008353,紫苏子,10g.15g ,自煎
968,Y00000007A16,白芍颗粒一方,相当于饮片10G,冲服
969,Y00000001978,安普索片#,30mg*20,口服
983,17086,风湿三项,,
985,20227,肝功一组,,
986,Y00000000434,灭菌注射用水@#,500ml,其他
1002,Y00000020118,信必可都保**#,(320ug:9ug)*60吸,吸入
1007,Y00000019582,丙泊酚中/长链脂肪乳注射液(竟安),20ml:0.2g,微泵静注
1010,F00002207417,心电监测,,
1017,F00002207561,纤维结肠镜检查(电子镜),,
1022,Y00000002271,化癥回生口服液 &,10ml*6支,口服
1025,F00000180095,一次性压力延长管,,
1030,F00002204350,重症监护,,
1045,F00002223431,预充式导管冲洗器5ML/威海洁瑞,,
1046,F00002204433,小换药,,
1052,20695,IgE烟曲霉（m3）,,
1061,Y00000002063,思密达散剂**,3g*10,口服
1064,F00002207322,支气管舒张试验,,
1065,Y00000001240,拜唐苹片*#,50mg*30片,口服
1067,17797,留置导尿,,
1078,Y00000018358,新泰林针@,0.5g,静脉滴注
1079,17082,胰功两项,,
1082,17963,运动平板心电图,,
1125,Y00000019577,盐酸帕洛诺司琼注射液(吉欧停),5ml:0.25mg,静脉注射
1128,17096,真菌抗原三项血清检测（检验科）,,
1135,Y00000018473,诺和锐(特充)**#,100U/ml*3ml,皮下注射
1144,Y00000001147,地塞米松片 #&,0.75mg*100,口服
1145,F00002217768,针管回缩式静脉留置针20G×29mm（威高）,,
1147,F00002204910,B超常规检查(妇科(含子宫、附件、膀胱及周围组织)),,
1149,Y00000018599,5%葡萄糖注射液&#@,50ml:2.5g,微泵静注
1152,F00002217767,针管回缩式静脉留置针18G×29mm（威高）,,
1159,F00002218589,黄头真空管,,
1167,F00000181494,去白细胞滤器,,
1170,F00002218370,胰岛素笔用针头（BD）（320632型）,,
1171,F00002213279,胸腔穿刺术后留置管抽液(注药),,
1176,F00002233358,针管回缩式聚氨酯静脉留置针/22G*25mm威高,,
1182,Y00000001955,兰悉多片#,15mg*14,口服
1195,Y00000000541,注射用灯盏花素(龙津针)#,50mg,静脉滴注
1196,Y00000000675,10%葡萄糖注射液&#@,10%*250ml,静脉滴注
1197,Y00000019940,脾氨肽口服冻干粉@,2mg*5瓶,口服
1210,F00002233357,针管回缩式聚氨酯静脉留置针/20G*29mm威高,,
1211,Y00000018900,新络纳分散片#,5mg*20,口服
1212,Y00000018882,噻吗灵针@,0.25g,静脉滴注
1217,Y00000001917,西乐葆胶囊*#,200mg*6,口服
1229,Y00000000018,氨茶碱注射液#,2ml:0.25g*10支,静脉滴注
1235,F00002220501,持续尿量监测,,
1236,F00002204401,住院静脉输血,,静滴冲管
1237,Y00000019653,注射用盐酸托烷司琼&,5mg,静脉注射
1239,Y00000000144,科赛斯针**G,50mg,静脉滴注
1246,Y00000007A21,浙贝母颗粒一方,相当于饮片10g,自煎
1251,Y00000000425,碳酸氢钠注射液&#,250ml:12.5g,其他
1252,F00002207332,呼吸机辅助呼吸,,
1259,Y00000001748,地榆升白片,0.1g*40,口服
1262,Y00000018477,盖三淳胶丸#,0.25ug*10粒,口服
1267,Y00000020117,多巴胺注射液(亚邦) #,20mg*10,微泵静注
1270,F00002218368,一次性使用吸痰管（收集器10F）/上海康鸽,,
1272,Y00000020008,硫酸镁注射液(杭州) #,10ml:2.5g*5,肌肉注射
1311,F00002207348,纤维支气管镜检查,,
1329,16887,尿液肾功四项,,
1338,F00002217890,紫红头真空管,,
1342,Y00000001272,安博维片*#,150mg*7,口服
1344,Y00000007C55,五味子颗粒一方,相当于饮片6g,冲服
1360,17796,导尿,,
1364,Y00000019592,护固莱士粘合剂,2ml,治疗
1366,Y00000019866,前列地尔注射液(力邦喜通)#,2ml:10ug,静脉注射
1369,F00002208389,血液加温治疗,,
1371,Y00000007D12,苦杏仁颗粒一方,相当于饮片10G,冲服
1388,F00002207324,床边简易肺功能测定,,
1390,Y00000007A14,玉竹颗粒一方(单味自费),相当于饮片10G,自煎
1393,Y00000001105,可乐必妥片 #,0.5g*4,口服
1399,Y00000000339,奥西康针#,42.6mg(含奥40mg),静脉滴注
1401,17084,离子四项,,
1404,Y00000000515,赛美维针,0.5g,其他
1448,Y00000002175,迪先混悬液#,120ml,口服
1461,F00002211990,运动疗法(全身肌力训练),,
1469,17297,肝胆脾胰彩超,,
1470,17965,24小时动态心电图,,
1477,Y00000019550,注射用尖吻蝮蛇血凝酶(苏灵),1单位,静脉注射
1485,18605,伏立康唑血浆药物浓度测定,,
1487,Y00000000589,艾迪注射液&,10ml ,静脉滴注
1503,Y00000004904,潘舒泰克肠溶片#,40mg*7片,口服
1507,F00002204393,动脉加压注射,,
1515,17061,肝功三项,,
1516,Y00000007F36,桑白皮颗粒一方,相当于饮片10G,自煎
1519,F00002218306,针管回缩式静脉留置针22G×25mm（威高）,,
1536,Y00000018848,舒普深针#,1.5g(1g/0.5g),静脉滴注
1544,F00002218849,胰岛素注射器（1ML/BD）,,皮下注射
1548,Y00000018881,10%氯化钾注射液(大冢)#,10ml:1g,鼻饲
1550,17075,心肌二项,,
1551,18284,心电图床旁（心电图室）,,
1554,17080,骨代谢三项,,
1558,21366,人类白细胞抗原ABDR位点核酸检测,,
1567,Y00000001346,艾诺克分散片&,40mg*24,口服
1571,Y00000018484,克赛注射液**#,0.4ml:4000AxaIU*2,皮下注射
1579,F00002204436,雾化吸入,,喷雾给药
1589,17306,甲状腺彩超,,
1595,17137,尿干化学分析,,
1609,Y00000001116,开博通片*#,12.5mg*100,口服
1622,Y00000008011,欣贝针&,1ml:5mg,静脉注射
1629,F00000181421,佰通PVC鼻胃管,,
1637,Y00000018909,注射用头孢美唑钠,1.0g,静脉滴注
1638,17943,EB病毒抗体测定,,
1643,17981,专项变应原筛查,,
1645,Y00000020265,乌苯美司胶囊&,10mg*18,口服
1650,16324,超敏C反应蛋白,,
1661,Y00000018717,复方氨基酸注射液(18AA-II)#,250ml:21.25g,静脉滴注
1666,Y00000019804,特尔立注射液&,100ug,治疗
1668,Y00000008401,苡米（薏苡仁）（单味自费),10g.15g,煎服(代煎)
1672,F00002207962,简明心理状况测验(MMSF),,
1673,17795,心电监测,,
1685,16178,双侧颈动脉+椎动脉彩超,,
1686,Y00000000543,威凡针**,200mg,静脉滴注
1692,17881,层流洁净病房,,
1698,17569,胸部螺旋CT平扫+增强(造影剂另计),,
1703,17868,尿酸,,
1718,18803,病理切片处理,,
1735,Y00000001215,高舒达片*#,20mg*30,口服
1744,Y00000004836,博路定片*#,0.5mg*7片,口服
1745,16538,交叉配血（微柱凝胶),,
1751,22226,血肺炎支原体IgM（快速法）,,
1758,16516,空腹血清C肽测定,,
1766,F00002207428,持续有创性血压监测,,
1768,Y00000007C56,栀子颗粒一方(单味自费),相当于饮片10G,冲服
1781,Y00000002182,舒利迭粉吸入剂#,50ug/250ug*60吸,吸入
1788,17807,血细胞分析（海印）,,
1796,17913,曲霉菌抗原检测（GM试验）,,
1798,Y00000000185,葡萄糖氯化钠注射液&#@,250ml,静脉滴注
1804,Y00000019575,咖啡酸片,0.1g*36片,口服
1813,Y00000000915,仙力素针,0.5g,静脉滴注
1825,F00002206400,散瞳验光,,
1829,Y00000000291,密盖息注射液**&［—］,1ml:50u*5,肌肉注射
1835,17925,胸水腺苷脱氨酶(ADA),,
1862,F00002218243,一次性静脉营养袋（3000ML）（上海曹扬）,,
1870,17721,消化道肿瘤四项,,
1871,F00002204465,引流管更换,,
1897,Y00000000582,人型-PPD注射液,50iu:1ml,其他
1898,Y00000018878,斯沃片**,0.6g*10片,口服
1904,Y00000000737,血栓通针(晨钟)@,150mg,静脉滴注
1913,Y00000001009,阿普唑仑片 #,0.4mg*100,口服
1924,17864,血糖（1小时）,,
1927,Y00000019873,10%氯化钾注射液#,10ml:1g,鼻饲
1929,Y00000000545,欣维宁注射液,100ml:5mg,静脉滴注
1933,Y00000019886,阿拓莫兰针#,1.0g,静脉滴注
1939,Y00000020217,0.9%氯化钠针(怡翔玻瓶)&#@,0.9%*500ml,其他
1944,Y00000007G24,地龙颗粒一方,相当于饮片10G,冲服
1952,Y00000000450,0.9%氯化钠注射液&#@,500ml:4.5g,静脉滴注
1955,Y00000001608,赛治片**,10mg*50,口服
